rbi,hr,obp,avg,age,obp pred,"obp	real",error
37,5,0.297,0.259,1994,0.312301195,0.326,0.013698805
40,10,0.347,0.288,1989,0.319825157,0.3,-0.019825157
83,29,0.374,0.318,1992,0.35560787,0.387,0.03139213
47,16,0.339,0.272,1987,0.327771784,0.293,-0.034771784
10,3,0.255,0.201,1988,0.292933101,0.255,-0.037933101
4,2,0.286,0.231,1989,0.288294954,0.184,-0.104294954
15,3,0.296,0.25,1989,0.297277989,0.375,0.077722011
6,0,0.167,0.14,1991,0.285231228,0.19,-0.095231228
90,38,0.355,0.27,1986,0.364722191,0.35,-0.014722191
71,21,0.415,0.322,1984,0.349262376,0.406,0.056737624
11,3,0.313,0.225,1992,0.293220676,0.21,-0.083220676
11,1,0.332,0.258,1990,0.293904507,0.265,-0.028904507
85,28,0.308,0.25,1983,0.35866253,0.331,-0.02766253
49,20,0.299,0.22,1990,0.328320773,0.281,-0.047320773
18,5,0.345,0.26,1993,0.299593138,0.332,0.032406862
39,15,0.338,0.276,1990,0.320201758,0.282,-0.038201758
42,16,0.3,0.256,1989,0.322308953,0.282,-0.040308953
13,3,0.364,0.26,1991,0.29645613,0.315,0.01854387
110,43,0.336,0.247,1987,0.377196805,0.326,-0.051196805
71,19,0.333,0.244,1987,0.345484165,0.283,-0.062484165
42,4,0.376,0.285,1990,0.319373472,0.332,0.012626528
73,29,0.409,0.295,1992,0.349761542,0.374,0.024238458
50,19,0.351,0.283,1983,0.333023695,0.332,-0.001023695
59,30,0.315,0.211,1993,0.337912173,0.356,0.018087827
88,27,0.323,0.249,1987,0.359021478,0.273,-0.086021478
33,9,0.316,0.27,1991,0.312605714,0.303,-0.009605714
85,38,0.353,0.246,1987,0.361168764,0.276,-0.085168764
53,12,0.36,0.288,1988,0.330738978,0.394,0.063261022
49,15,0.363,0.3,1986,0.329880724,0.395,0.065119276
65,22,0.294,0.199,1985,0.342329367,0.253,-0.089329367
7,2,0.176,0.146,1991,0.286943096,0.333,0.046056904
6,3,0.288,0.235,1990,0.289762447,0.295,0.005237553
76,24,0.281,0.23,1992,0.347272279,0.314,-0.033272279
124,37,0.376,0.312,1990,0.383052114,0.325,-0.058052114
40,10,0.325,0.249,1990,0.318827187,0.318,-0.000827187
14,5,0.262,0.208,1989,0.296409352,0.328,0.031590648
97,30,0.352,0.267,1983,0.367639332,0.328,-0.039639332
12,2,0.279,0.25,1983,0.297031607,0.287,-0.010031607
90,23,0.377,0.303,1989,0.359446122,0.324,-0.035446122
